objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
1926-377;Het Huis van Alijn (Gent);strijkijzer;Kachelbout van gietijzer;Dit strijkijzer met afbeelding van een verliefd koppel werd vermoedelijk als huwelijksgeschenk gegeven.;"";"";"";"";""
1965-089-007;Het Huis van Alijn (Gent);stangpop;Afrikaanse koning Boela;Stangpop van de Afrikaanse koning Boela. De pop draagt een zilverkleurige kartonnen kroon met pailletten en oorringen. Lang, roodbruin kleed met gestileerde bloemmotieven. Over de borst en de heupen hangen sierbanden met gestileerde plantmotieven waarin vooral geel voorkomt. Onderaan het kleed zit een band met franjes. De pop draagt zwarte laarzen. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
2007-119-126;Het Huis van Alijn (Gent);schuurmiddel;Schoonmaakmiddel Vim;"";"";"";"";"";""
1973-276-001;Het Huis van Alijn (Gent);kop (figuurvoorstellingen);Reuzenkop Kwinten;Reuzenkop van papier-maché van de dekenij Heuvelpoort (Heuvelstraat). De man draagt een baard met dikke snor en een hoed met rozet. De naam van de reus is ontleend aan de Sint-Kwintensberg, in de buurt van het Sint-Pietersplein en de Heuvelpoort. De reuzen Kwinten en Amanda werden omstreeks 1905 ingehuldigd. Tijdens de Gentse Feesten van 1927 werden ze tentoongesteld in het voormalige Folkloremuseum in de Lange Steenstraat in Gent. In 1947 startte de dekenij Heuvelpoortstraat opnieuw met een reuzenommegang waarbij reus Kwinten aanwezig was. De dekenij hield op met het paraderen met de reuzen in 1958.;1905;"";"";"";""
1980-048-015;Het Huis van Alijn (Gent);beeldje;Trois heures du matin;In de tweede helft van de 19de eeuw werden kleine, porseleinen beeldjes gemaakt die verkocht werden op jaarmarkten, kermissen en in winkels. Kenmerkend voor de beeldjes is de humoristische weergave van dagelijkse taferelen. Er werd vooral gelachen met het huwelijk.;1860;1890;"";"";""
2003-104-169;Het Huis van Alijn (Gent);postkaart;Bonne année;"";1906;"";"";"";""
2004-247-046;Het Huis van Alijn (Gent);glasnegatief;Carnavalsvierders op de Kouter in Gent, ca. 1890;Drie verklede en gemaskerde carnavalsvierders op de Kouter in Gent, waarschijnlijk gefotografeerd tijdens de carnavalsdagen in 1890. De twee figuren links dragen harlekijnspakken, de figuur rechts is als zwarte griezelfiguur verkleed. De schaduw links op de grond is waarschijnlijk die van de fotograaf.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
1981-043-002;Het Huis van Alijn (Gent);weegschaal (meetinstrument);Tweeschalige jukbalans;Samengestelde tweeschalige jukbalans op ijzeren onderstel. De schalen rusten in een kruisvorm met gekrulde toppen. Deze zijn in een rechthoekige kader van ijzer gezet met een lus als ophangboog. De balans is voorzien van een schaal van aluminium en een schaal van koper met opstaande en overkragende rand.;"";"";"";"";""
2007-150-440;Het Huis van Alijn (Gent);nummerplaat;Nummerplaat voor fiets Brabant 1958;"";1958;"";"";"";""
1981-043-001;Het Huis van Alijn (Gent);suikerbreektang (suikerbrood);Suikerbreker;Suiker werd bij de kruidenier verkocht in kegelvormige blokken. Om de suiker in kleinere stukken te breken, maakte men gebruik van een tang. De tang heeft een licht ingesnoerd handvat waarop een ijzeren, ronde staaf zit. Daarin zit één been van de tang. Het andere been is gebogen en eindigt in een punt. Het been is met een ijzer op een houten plank vastgemaakt. De scharnier is op een staaf in een U-vorm vastgezet. Deze rust op een plank. Met de twee gebogen bekken met platte halfcilindervormige sneden kan de suiker worden gebroken.;"";"";"";"";""
